right_hip_pitch,right_hip_roll,right_hip_slide,right_ankle_roll,right_ankle_pitch,left_hip_pitch,left_hip_roll,left_hip_slide,left_ankle_roll,left_ankle_pitch,zmpx,zmpy
0.10925,-0.21457,-0.011776,0.21457,-0.10925,-0.019363,-0.2158,-0.007387,0.2158,0.019363,0,0
0.10936,-0.21499,-0.011839,0.21499,-0.10936,-0.01926,-0.21623,-0.007441,0.21623,0.01926,0,0
0.10946,-0.2154,-0.011901,0.2154,-0.10946,-0.019158,-0.21665,-0.007496,0.21665,0.019158,0,0
0.10956,-0.21582,-0.011961,0.21582,-0.10956,-0.019055,-0.21707,-0.00755,0.21707,0.019055,0,0
0.10966,-0.21623,-0.012021,0.21623,-0.10966,-0.018954,-0.21749,-0.007604,0.21749,0.018954,0,0
0.10976,-0.21665,-0.01208,0.21665,-0.10976,-0.018852,-0.2179,-0.007658,0.2179,0.018852,0,0
0.10986,-0.21705,-0.012137,0.21705,-0.10986,-0.018751,-0.21832,-0.007712,0.21832,0.018751,0,0
0.10996,-0.21746,-0.012193,0.21746,-0.10996,-0.01865,-0.21873,-0.007766,0.21873,0.01865,0,0
0.11006,-0.21787,-0.012248,0.21787,-0.11006,-0.01855,-0.21914,-0.007819,0.21914,0.01855,0,0
0.11015,-0.21828,-0.0123,0.21828,-0.11015,-0.01845,-0.21954,-0.007872,0.21954,0.01845,0,0
0.11024,-0.21868,-0.012352,0.21868,-0.11024,-0.01835,-0.21995,-0.007925,0.21995,0.01835,0,0
0.11034,-0.21908,-0.012401,0.21908,-0.11034,-0.01825,-0.22035,-0.007978,0.22035,0.01825,0,0
0.11043,-0.21948,-0.012448,0.21948,-0.11043,-0.018151,-0.22076,-0.00803,0.22076,0.018151,0,0
0.11052,-0.21988,-0.012494,0.21988,-0.11052,-0.018052,-0.22115,-0.008082,0.22115,0.018052,0,0
0.11061,-0.22028,-0.012537,0.22028,-0.11061,-0.017954,-0.22155,-0.008134,0.22155,0.017954,0,0
0.1107,-0.22067,-0.012579,0.22067,-0.1107,-0.017856,-0.22195,-0.008185,0.22195,0.017856,0,0
0.11078,-0.22107,-0.012618,0.22107,-0.11078,-0.017758,-0.22234,-0.008236,0.22234,0.017758,0,0
0.11086,-0.22146,-0.012655,0.22146,-0.11086,-0.01766,-0.22273,-0.008287,0.22273,0.01766,0,0
0.11095,-0.22185,-0.012689,0.22185,-0.11095,-0.017563,-0.22312,-0.008337,0.22312,0.017563,0,0
0.11102,-0.22224,-0.012721,0.22224,-0.11102,-0.017466,-0.22351,-0.008387,0.22351,0.017466,0,0
0.1111,-0.22263,-0.012751,0.22263,-0.1111,-0.01737,-0.22389,-0.008437,0.22389,0.01737,0,0
0.11118,-0.22302,-0.012777,0.22302,-0.11118,-0.017274,-0.22428,-0.008486,0.22428,0.017274,0,0
0.11125,-0.2234,-0.012802,0.2234,-0.11125,-0.017178,-0.22466,-0.008535,0.22466,0.017178,0,0
0.11133,-0.22379,-0.012823,0.22379,-0.11133,-0.017082,-0.22504,-0.008584,0.22504,0.017082,0,0
0.1114,-0.22417,-0.012842,0.22417,-0.1114,-0.016987,-0.22541,-0.008632,0.22541,0.016987,0,0
0.11146,-0.22456,-0.012857,0.22456,-0.11146,-0.016892,-0.22579,-0.00868,0.22579,0.016892,0,0
